Image,Candidate Name,Notes,Office
R,Jay Obernolte,Incumbent,U.S. HOUSE 23rd DISTRICT
D,Derek Marshall,Organizer and community activist,U.S. HOUSE 23rd DISTRICT
D,Salud Carbajal,Incumbent,U.S. HOUSE 24th DISTRICT
R,Thomas Cole,Retired developer and builder,U.S. HOUSE 24th DISTRICT
D,Raul Ruiz,Incumbent,U.S. HOUSE 25th DISTRICT
R,Ian Weeks,Certified financial planner,U.S. HOUSE 25th DISTRICT
D,Julia Brownley,Incumbent,U.S. HOUSE 26th DISTRICT
R,Michael Koslow,Retired Air Force veteran,U.S. HOUSE 26th DISTRICT
R,Mike Garcia,Incumbent,U.S. HOUSE 27th DISTRICT
D,George Whitesides,Former NASA Chief of Staff and aerospace entrepreneur,U.S. HOUSE 27th DISTRICT
D,Judy Chu,Incumbent,U.S. HOUSE 28th DISTRICT
R,April Verlato,,U.S. HOUSE 28th DISTRICT
D,Luz Rivas,Currently Assemblywoman District 43,U.S. HOUSE 29th DISTRICT
R,Benito Bernal,Former LAUSD bus driver/supervisor,U.S. HOUSE 29th DISTRICT
D,Laura Friedman,Currently Assemblymember 44th District,U.S. HOUSE 30th DISTRICT
R,Alex Balekian,Intensive care physician,U.S. HOUSE 30th DISTRICT
D,Gil Cisneros,Former congressman naval officer,U.S. HOUSE 31st DISTRICT
R,Daniel Martinez,Lawyer teacher,U.S. HOUSE 31st DISTRICT
D,Brad Sherman,Incumbent,U.S. HOUSE 32nd DISTRICT
R,Larry Thompson,Hollywood talent manager film producer,U.S. HOUSE 32nd DISTRICT
D,Pete Aguilar,Incumbent,U.S. HOUSE 33rd DISTRICT
R,Tom Herman,Teacher realtor,U.S. HOUSE 33rd DISTRICT
D,Jimmy Gomez,Incumbent,U.S. HOUSE 34th DISTRICT
D,David Kim,Children’s court attorney activist,U.S. HOUSE 34th DISTRICT
D,Norma Torres,Incumbent,U.S. HOUSE 35th DISTRICT
R,Mike Cargile,Former Army Officer/ actor/ writer,U.S. HOUSE 35th DISTRICT
D,Ted Lieu,Incumbent,U.S. HOUSE 36th DISTRICT
R,Melissa Toomim,,U.S. HOUSE 36th DISTRICT
D,Sydney Kamlager-Dove,Incumbent,U.S. HOUSE 37th DISTRICT
No Party Preference,Juan Rey,Former train mechanic,U.S. HOUSE 37th DISTRICT
D,Linda Sánchez,Incumbent,U.S. HOUSE 38th DISTRICT
R,Eric Ching,Former Walnut City Councilmember,U.S. HOUSE 38th DISTRICT
D,Mark Takano,Incumbent,U.S. HOUSE 39th DISTRICT
R,David Serpa,Marine Corps Veteran,U.S. HOUSE 39th DISTRICT
R,Young Kim,Incumbent,U.S. HOUSE 40th DISTRICT
D,Joe Kerr,Former OC Fire Captain,U.S. HOUSE 40th DISTRICT
R,Ken Calvert,Incumbent,U.S. HOUSE 41st DISTRICT
D,Will Rollins,Former Federal Prosecutor,U.S. HOUSE 41st DISTRICT
D,Robert Garcia,Incumbent,U.S. HOUSE 42nd DISTRICT
R,John Briscoe,Former Trustee Ocean View School District,U.S. HOUSE 42nd DISTRICT
D,Maxine Waters,Incumbent,U.S. HOUSE 43rd DISTRICT
R,Steve Williams,Real Estate,U.S. HOUSE 43rd DISTRICT
D,Nanette Barragán,Incumbent,U.S. HOUSE 44rd DISTRICT
R,Roger Groh,,U.S. HOUSE 44rd DISTRICT
R,Michelle Steel,Incumbent,U.S. HOUSE 45th DISTRICT
D,Derek Tran,Army Veteran and Consumer Right Attorney,U.S. HOUSE 45th DISTRICT
D,Lou Correa,Incumbent,U.S. HOUSE 46th DISTRICT
R,David Pan,University Professor,U.S. HOUSE 46th DISTRICT
D,Dave Min,CA State Senator District 37,U.S. HOUSE 47th DISTRICT
R,Scott Baugh,Former Assemblymember and business owner,U.S. HOUSE 47th DISTRICT
R,Darrell Issa,Incumbent,U.S. HOUSE 48th DISTRICT
D,Stephen Houlahan,Nurse and Former Santee Councilmember,U.S. HOUSE 48th DISTRICT
D,Mike Levin,Incumbent,U.S. HOUSE 49th DISTRICT
R,Matt Gunderson,Business owner car industry,U.S. HOUSE 49th DISTRICT
