Image,Candidate Name,Notes,Office
I,Adrin Nazarian,State Labor Boardmember and Former Assemblymember,L.A. CITY COUNCIL DISTRICT 2
I,Jillian Burgos,Small Business Owner,L.A. CITY COUNCIL DISTRICT 2
I,Heather Hutt,Incumbent,L.A. CITY COUNCIL DISTRICT 10
I,Grace Yoo,Attorney and former L.A. City Commissioner,L.A. CITY COUNCIL DISTRICT 10
I,Kevin de León,Incumbent,L.A. CITY COUNCIL DISTRICT 14
I,Ysabel Jurado,Tenants Rights Attorney,L.A. CITY COUNCIL DISTRICT 14
