Candidate Name,Office,Notes
Shawn Costello,Dublin Mayor,Game Tech
Tom Evans,Dublin Mayor,Retired Civil Engineer
Sherry Hu,Dublin Mayor,Vice Mayor/Entrepreneur
Jean Josey,Dublin Mayor,Educator/Councilmember
