Candidate Name,Office,Notes
Logan Bowie,Berkeley Mayor,Paralegal
Sophie Hahn,Berkeley Mayor,Berkeley City Councilmember
Kate Harrison,Berkeley Mayor,International Management Consultant
Adena Ishii,Berkeley Mayor,Education Consultant
Naomi D. Pete,Berkeley Mayor,n/a
