Candidate Name,Office,Notes
Vinnie Bacon,Fremont Mayor,Software Development Manager
Rohan Marfatia,Fremont Mayor,Business Executive/Parent
Hiu Ng,Fremont Mayor,Retired Technology Exec
Raj Salwan,Fremont Mayor,Fremont City Councilmember
