Image,Candidate Name,Office,Notes
D,Lateefah Simon,U.S. House CA Dist 12,Non-Profit Foundation President
D,Jennifer Tran,U.S. House CA Dist 12,Professor/Chamber President
R,Vin Kruttiventi,U.S. House CA Dist 14,CEO/Business Owner
D,Eric Swalwell,U.S. House CA Dist 14,United States Congressman and incumbent
R,Anita Chen,U.S. House CA Dist 17,Educator/Entrepreneur
D,Ro Khanna,U.S. House CA Dist 17,United States Congressman and incumbent
