Image,Candidate Name,Office,Notes
D,Jerry Mcnerney,CA State Senate District 5,Policy Advisor
R,Jim Shoemaker,CA State Senate District 5,Trucker/Tradesman/Businessman
D,Jesse Arreguin,CA State Senate District 7,Mayor of Berkeley
D,Jovanka Beckles,CA State Senate District 7,AC Transit Director
D,Timothy Grayson,CA State Senate District 9,Assemblymember/Business Owner
D,Marisol Rubio,CA State Senate District 9,Caregiver
