Image,Party Affiliation,Candidate Name,Office
D,Democrat,Sujata Gadkar-Wilcox,CT State Senate District 22
R,Republican,Chris Carrena,CT State Senate District 22
D,Democrat,Herron Gaston (i),CT State Senate District 23
R,Republican,Brian Banacowski,CT State Senate District 23
D,Democrat,Julie Kushner (i),CT State Senate District 24
R,Republican,Michelle Coelho,CT State Senate District 24
D,Democrat,Bob Duff (i),CT State Senate District 25
R,Republican,Martin Tagliaferro,CT State Senate District 25
D,Democrat,Ceci Maher (i),CT State Senate District 26
R,Republican,Amanda Wallace,CT State Senate District 26
D,Democrat,Patricia Miller (i),CT State Senate District 27
R,Republican,Nicola Tarzia,CT State Senate District 27
D,Democrat,Nick Simmons,CT State Senate District  36
R,Republican,Ryan Fazio (i),CT State Senate District  36
