Image,Party Affiliation,Candidate Name,Office
C,Democrat,Christopher Murphy (i),U.S. Senate Connecticut
M,Republican,Matthew Corey,U.S. Senate Connecticut
R,Independent,Robert Hyde,U.S. Senate Connecticut
