Image,Party Affiliation,Candidate Name,Office
D,Democrat,Bob Godfrey (i),CT State Assembly District 110
R,Republican,Austin Monteiro,CT State Assembly District 110
D,Democrat,Aimee Berger-Girvalo (i),CT State Assembly District 111
R,Republican,Colette Kabasakalian,CT State Assembly District 111
D,Democrat,Beth Cliff,CT State Assembly District 112
R,Republican,Tony Scott (i),CT State Assembly District 112
D,Democrat,Frank Smith (i),CT State Assembly District 118
R,Republican,Mark Macchio,CT State Assembly District 118
D,Democrat,Kaitlyn Shake,CT State Assembly District 120
R,Republican,Laura Dancho (i),CT State Assembly District 120
D,Democrat,Joe Gresko (i),CT State Assembly District 121
R,Republican,Rafael Irizarry,CT State Assembly District 121
D,Democrat,Dorothey Lerner,CT State Assembly District 122
R,Republican,Ben McGorty (i),CT State Assembly District 122
D,Democrat,Tom Tesoro,CT State Assembly District 123
R,Republican,David Rutigliano (i),CT State Assembly District 123
D,Democrat,Andre Baker (i),CT State Assembly District 124
R,Republican,Yoshiyahu Yisrael,CT State Assembly District 124
D,Democrat,Chris Coyle,CT State Assembly District 125
R,Republican,Tom O'Dea (i),CT State Assembly District 125
D,Democrat,Fred Gee Jr. (i),CT State Assembly District 126
R,Republican,David Herz,CT State Assembly District 126
D,Democrat,Christopher Rosario (i),CT State Assembly District 128
R,Republican,Ramona Marquez,CT State Assembly District 128
D,Democrat,Steven Stafstrom (i),CT State Assembly District 129
R,Republican,Francis Kalangala,CT State Assembly District 129
D,Democrat,Antonio Felipe (i),CT State Assembly District 130
R,Republican,Terry Sullivan,CT State Assembly District 130
D,Democrat,Ellen Fox,CT State Assembly District 131
R,Republican,Arnold Jensen,CT State Assembly District 131
D,Democrat,Jennifer Leeper (i),CT State Assembly District 132
R,Republican,Alexis Harrison,CT State Assembly District 132
D,Democrat,Cristin Vahey (i),CT State Assembly District 133
R,Republican,Chris Verras,CT State Assembly District 133
D,Democrat,Sarah Keitt (i),CT State Assembly District 134
R,Republican,Melissa Longo,CT State Assembly District 134
D,Democrat,Anne Hughes (i),CT State Assembly District 135
R,Republican,Christopher Peritore,CT State Assembly District 135
D,Democrat,Jonathan Steinberg (i),CT State Assembly District 136
R,Republican,John Bolton,CT State Assembly District 136
D,Democrat,Kadeem Roberts (i),CT State Assembly District 137
R,Republican,Pietro Rotondo,CT State Assembly District 137
D,Democrat,Kenneth Gucker,CT State Assembly District 138
R,Republican,Rachel Chaleski (i),CT State Assembly District 138
D,Democrat,Kevin Ryan (i),CT State Assembly District 139
R,Republican,Mark Adams,CT State Assembly District 139
D,Democrat,Travis Simms (i),CT State Assembly District 140
R,Republican,Enrique Santiago,CT State Assembly District 140
D,Democrat,Sheila Quinn,CT State Assembly District 141
R,Republican,Tracy Marra (i),CT State Assembly District 141
D,Democrat,Luch Dathan (i),CT State Assembly District 142
R,Republican,Tricia Massucco,CT State Assembly District 142
D,Democrat,Dominique Johnson (i),CT State Assembly District 143
R,Republican,Peter Bang,CT State Assembly District 143
D,Democrat,Hubert Delany (i),CT State Assembly District 144
R,Republican,Layne Rodney,CT State Assembly District 144
D,Democrat,Corey Paris (i)),CT State Assembly District 145
R,Republican,Fritz Blau,CT State Assembly District 145
D,Democrat,David Michel (i),CT State Assembly District 146
R,Republican,Jim Malerba,CT State Assembly District 146
R,Republican,Matt Blumenthal (i),CT State Assembly District 147
,,Rudy Settimi,CT State Assembly District 147
D,Democrat,Anabel Figueroa (i),CT State Assembly District 148
R,Republican,Olga Anastos,CT State Assembly District 148
D,Democrat,Rachel Khanna (i),CT State Assembly District 149
R,Republican,Tina Courpas,CT State Assembly District 149
D,Democrat,Steve Meskers (i),CT State Assembly District 150
R,Republican,Paul Cappiali,CT State Assembly District 150
D,Democrat,Hector Arzeno (i),CT State Assembly District 151
R,Republican,Tod Laudonia,CT State Assembly District 151
