Candidate Name,Office,Notes
Steve Young,Benicia Mayor,Incumbent
Kevin Kirby,Benicia Mayor,Father/Businessman/Coach
Trevor Macenski,Benicia City Council (Two Seats Open),Environmental Planner
Lionel Largaespada,Benicia City Council (Two Seats Open),Business Development Executive
Christina Gilpin-Hayes,Benicia City Council (Two Seats Open),Innovation Manager
Franz Rosenthal,Benicia City Council (Two Seats Open),Pharmaceutical Engineer
