Candidate Name,Office,Notes
Pippin Dew,Vallejo Mayor,Local Businesswoman/Parent
Ravi Shankar,Vallejo Mayor,Retired Business Owner
Andrea Sorce,Vallejo Mayor,Community College Professor
Dwight Monroe Jr.,Vallejo Mayor,Local Businessman/Parent
Brenda Plechaty,Vallejo Council Dist. 1,Community Volunteer
Alexander Matias,Vallejo Council Dist. 1,Nonprofit Vice President
Carl Bonner,Vallejo Council Dist. 1,District Attorney Investigator
Cristina Arriloa,Vallejo Council Dist. 6,Incumbent
Helen-Marie Gordon,Vallejo Council Dist. 6,Community Volunteer
