Image,Candidate Name,Office,Notes
D,Mike Thompson,U.S. House CA Dist 4,Incumbent
R,John Munn,U.S. House CA Dist 4,Scientist/Farmer
D,Doris Matsui,U.S. House CA Dist 7,Incumbent
R,Tom Silva,U.S. House CA Dist 7,Veterans Program Coordinatory
