Candidate Name,Office,Notes
Betty Duong,Santa Clara County Supervisor District 2,Chief of Staff
Madison Nguyen,Santa Clara County Supervisor District 2,Businesswoman/Parent
Sally J. Lieber,Santa Clara County Supervisor District 5,California State Board of Equalization Member
Margaret Abe-Koga,Santa Clara County Supervisor District 5,City Councilmember/Mother
