Image,Candidate Name,Office,Notes
D,Sam Liccardo,U.S. House CA Dist 16,Small Businessperson/Educator
D,Evan Low,U.S. House CA Dist 16,California State Assemblymember
R,Anita Chen,U.S. House CA Dist 17,Educator/Entrepreneur
D,Ro Khanna,U.S. House CA Dist 17,United States Congressman and incumbent
D,Zoe Lofgren,U.S. House CA Dist 18,Congresswoman and incumbent
R,Peter D. Hernandez,U.S. House CA Dist 18,Small Business Owner
R,Jason Michael Anderson,U.S. House CA Dist 19,Small Business Owner
D,Jimmy Panetta,U.S. House CA Dist 19,United States Representative and incumbent
