Candidate Name,Office,Notes
Hon Lien,Milpitas Mayor,City of Milpitas Councilmember
Voltaire Soriben Montemayor,Milpitas Mayor,Retired Geologist
Carmen Montano,Milpitas Mayor,Incumbent
Anthony Phan,Milpitas Mayor,Parent/Businessman/Councilmember
