Candidate Name,Office
George Lu,Palo Alto City Council (Four Seats Open)
Cari Templeton,Palo Alto City Council (Four Seats Open)
Henry Etzkowitz,Palo Alto City Council (Four Seats Open)
Keith Reckdahl,Palo Alto City Council (Four Seats Open)
Katie Causey,Palo Alto City Council (Four Seats Open)
Anne W. Cribbs,Palo Alto City Council (Four Seats Open)
Pat Burt,Palo Alto City Council (Four Seats Open)
Greer Stone,Palo Alto City Council (Four Seats Open)
Doria Summa,Palo Alto City Council (Four Seats Open)
