Candidate Name,Office,Notes
Kitty Moore,Cupertino City Council (Two Seats Open),Councilmember
Barry Chang,Cupertino City Council (Two Seats Open),Community Volunteer
Claudio Bono,Cupertino City Council (Two Seats Open),Managing Director/Businessman
Hung Wei,Cupertino City Council (Two Seats Open),Councilmember
Ray Wang,Cupertino City Council (Two Seats Open),Technology Consultant/Entrepreneur 
Gilbert Wong,Cupertino City Council (Two Seats Open),Foothill-De Anza Community College District Board Member
Rod Sinks,Cupertino City Council (Two Seats Open),Fremont Union High School District Trustee
