Candidate Name,Office,Notes
Joe Lopez,San Jose City Council District 2,Retired Sheriff's Sergeant
Pamela Campos,San Jose City Council District 2,Educator
Michael Mulcahy,San Jose City Council District 6,Neighborhood Business Owner
Olivia Navarro,San Jose City Council District 6,City Commissioner/Businesswoman
Tam Truong,San Jose City Council District 8,Police Sergeant/Parent
Domingo Candelas,San Jose City Council District 8,Appointed City of San José Councilmember District 8
George Casey,San Jose City Council District 10,Vice-President/Senior Counsel
Arjun Batra,San Jose City Council District 10,Appointed City of San José District 10 Council Member
