Candidate Name,Office,Notes
Albert González,Santa Clara City Council District 1,Santa Clara Unified School District Board Member
Satish 'Sunny' Chandra,Santa Clara City Council District 1,Father/Businessman/Engineer
Harbir K. Bhatia,Santa Clara City Council District 1,CEO/Engineer
Kevin Nara Park,Santa Clara City Council District 4,Incumbent
Teresa O'Neill,Santa Clara City Council District 4,Retired Contracts Manager
Suds Jain,Santa Clara City Council District 5,Incumbent
David Kertes ,Santa Clara City Council District 5,Father/Coach/Businessman
George Guerra,Santa Clara City Council District 6,Telecom Manager
Kelly G. Cox,Santa Clara City Council District 6,Engineering Assistant Dean
Anthony J. Becker,Santa Clara City Council District 6,Incumbent
