Candidate Name,Office,Notes
Nicholas Hargis,Mountain View Council,Congressional Field Representative
John McAlister,Mountain View Council,Local Business Owner
Jose Gutierrez,Mountain View Council,High Tech Paralegal
Emily Ann Ramos,Mountain View Council,Appointed City Councilmember
Erik Poicon,Mountain View Council,Library Outreach Specialist
Chris Clark,Mountain View Council,Commissioner/Nonprofit Director
Devon Conley,Mountain View Council,Mountain View Whisman School District Board Member
Pat Showalter,Mountain View Council,Incumbent
IdaRose Sylvester,Mountain View Council,Entrepreneur/Educator
