Image,Party Affiliation,Candidate Name,Office
D,Democrat,Nancy Pelosi (i),U.S. House CA Dist 11
R,Republican,Bruce Lou,U.S. House CA Dist 11
D,Democrat,Kevin Mullin (i),U.S. House CA Dist 15
R,Republican,Anna Cheng Kramer,U.S. House CA Dist 15
