Image,Candidate Name,Office,Notes
D,Matt Haney,CA State Assembly District 17,Incumbent
R,Manuel Noris-Barrera,CA State Assembly District 17,
D,Catherine Stefani,CA State Assembly District 19,County Supervisor
D,David E. Lee,CA State Assembly District 19,Educator
