Image,Party Affiliation,Candidate Name,Office
D,Democrat,Josh Stein,NC Governor
R,Republican,Mark Robinson,NC Governor
L,Libertarian,Mike Ross,NC Governor
Constitution,Constitution,Walter Smith,NC Governor
G,Green,Wayne Turner,NC Governor
