Image,Party Affiliation,Candidate Name,Office
D,Democrat,Rachel Hunt,NC Lt. Governor
R,Republican,Hal Weatherman,NC Lt. Governor
Constitution,Constitution,Wayne Jones,NC Lt. Governor
L,Libertarian,Shannon W. Bray,NC Lt. Governor
