Image,Candidate Name,Office
I,James Bledsoe,Raleigh City Council At-Large (2 seats)
I,Joshua Bradley,Raleigh City Council At-Large (2 seats)
I,Stormie Denise Forte,Raleigh City Council At-Large (2 seats)
I,Jonathan Lambert-Melton,Raleigh City Council At-Large (2 seats)
I,Kate Pate,Raleigh City Council At-Large (2 seats)
I,Reeves Peeler,Raleigh City Council At-Large (2 seats)
I,Robert Steele Jr. ,Raleigh City Council At-Large (2 seats)
I,Mary Black-Branch,Raleigh City Council District A
I,Whitney Hill,Raleigh City Council District A
I,Mitchell Silver,Raleigh City Council District A
I,Jennifer McCollum,Raleigh City Council District B
I,Megan Patton,Raleigh City Council District B
I,Corey Branch,Raleigh City Council District C
I,DaQuanta Copeland,Raleigh City Council District C
I,Tomara DeCosta,Raleigh City Council District C
I,Daniel Grant-King,Raleigh City Council District C
I,Jared S. Ollison,Raleigh City Council District C
I,Tolulope O. Omokaiye,Raleigh City Council District C
I,Portia W. Rochelle,Raleigh City Council District C
I,Jane Harrison,Raleigh City Council District D
I,John Cerqueira,Raleigh City Council District E
I,Christina Jones,Raleigh City Council District E
