Candidate Name,Office,Notes
Frank Quint,Petaluma City Council Dist. 4,Global Transportation Director
Jeffrey Jay,Petaluma City Council Dist. 4,Computer Animation Scientist
Alexander Decarli,Petaluma City Council Dist. 5,Clean Energy Provider
Blake Hooper,Petaluma City Council Dist. 5,Planning Commissioner
Mike Healy,Petaluma City Council Dist. 6,Incumbent/Attorney
Brian Barnacle,Petaluma City Council Dist. 6,Incumbent/Attorney
Lance Kuehne,Petaluma City Council Dist. 6,Businessperson/Photographer/Teacher
