Image,Candidate Name,Office,Notes
D,Jared Huffman,U.S. House CA Dist 2,Incumbent
R,Chris Coulombe,U.S. House CA Dist 2,Small business Owner
D,Mike Thompson,U.S. House CA Dist 4,Incumbent
R,John Munn,U.S. House CA Dist 4,Scientist/Farmer
