Image,Candidate Name,Office,Notes
D,Chris Rogers,CA State Assembly District 2,Councilmember/Nonprofit Executive
R,Michael Greer,CA State Assembly District 2,Retired Special Educator
R,Darren Ellis,CA State Assembly District 4,n/a
D,Cecilia Aguiar-Curry,CA State Assembly District 4,Incumbent
D,Damon Connolly,CA State Assembly District 12,Incumbent
R,Andy Podshadley,CA State Assembly District 12,Winemaker/Business Owner
