Image,Party Affiliation,Candidate Name,Office,Website
D,Democrat,Gregg Johnson ,Illinois House 72nd District,https://www.gregg4illinois.com/
R,Republican,Ryan Spain ,Illinois House 73rd District,
R,Republican,Bradley Fritts ,Illinois House 74th District,https://fritts4rep.com/
D,Democrat,David Simpson,Illinois House 74th District,https://www.simpson4illinois.com/
R,Republican,Jed Davis ,Illinois House 75th District,https://jedforfreedom.com/
D,Democrat,Heidi Henry,Illinois House 75th District,https://www.heidihenryfor75.com/
R,Republican,Liz Bishop,Illinois House 76th District,https://electlizbishop.com/
D,Democrat,Murri Briel,Illinois House 76th District,https://www.murriforthe76th.com/
R,Republican,Ainthony Airdo,Illinois House 77th District,https://www.facebook.com/FriendsForAnthonyAirdo
D,Democrat,Norma Hernandez ,Illinois House 77th District,https://www.normaforstaterep.com/
D,Democrat,Camille Lilly ,Illinois House 78th District,
R,Republican,Jackie Haas ,Illinois House 79th District,https://votejackie.com/
D,Democrat,Billy Morgan,Illinois House 79th District,https://www.billymorgan.com/
R,Republican,Adam Beaty,Illinois House 80th District,https://www.beatyforillinois.com/
D,Democrat,Anthony DeLuca ,Illinois House 80th District,https://www.facebook.com/DeLucaForIllinois
R,Republican,Aaron Porter,Illinois House 81st District,https://aaronporter81.com/
D,Democrat,Anne Stava-Murray ,Illinois House 81st District,https://www.teamstavamurray.com/
R,Republican,Nicole La Ha ,Illinois House 82nd District,https://nicoleforillinois.org/
D,Democrat,Suzanne Akhras,Illinois House 82nd District,https://www.suzanneforil.com/
D,Democrat,Matt Hanson ,Illinois House 83rd District,
D,Democrat,Stephanie Kifowit ,Illinois House 84th District,
R,Republican,Chris Metcalfe,Illinois House 85th District,https://www.chrismetcalfeforillinoishousedistrict85.org/
D,Democrat,"Dagmara ""Dee"" Avelar",Illinois House 85th District,https://www.votedee85.com/
R,Republican,Jim Lanham,Illinois House 86th District,https://www.facebook.com/jimlanhamjolietcitycouncil/about
D,Democrat,"Lawrence ""Larry"" Walsh Jr. ",Illinois House 86th District,https://friendsforlarrywalshjr.com/
R,Republican,William Hauter ,Illinois House 87th District,https://www.hauterforrep.com/
R,Republican,Regan Deering,Illinois House 88th District,https://www.reganforillinois.com/
R,Republican,Tony McCombie ,Illinois House 89th District,
R,Republican,John Cabello ,Illinois House 90th District,
R,Republican,Desi Anderson,Illinois House 91st District,https://www.desiforillinois.com/
D,Democrat,Sharon Chung ,Illinois House 91st District,https://www.chungforillinois.com/
D,Democrat,Jehan Gordon-Booth ,Illinois House 92nd District,
R,Republican,Travis Robert Weaver ,Illinois House 93rd District,
R,Republican,Norine Hammond ,Illinois House 94th District,
