Token,Party Affiliation,Candidate Name,Office
D,Democrat,Joy Virginia Cunningham,Illinois Supreme Court 1st District (Burke Vacancy)
D,Democrat,Mary Lane Mikva,Illinois Appellate Court 1st District (Connors Vacancy)
D,Democrat,Cynthia Cobbs,Illinois Appellate Court 1st District (Cunningham Vacancy)
D,Democrat,Celia Louise Gamrath,Illinois Appellate Court 1st District (Delort Vacancy)
D,Democrat,Carl Anthony Walker,Illinois Appellate Court 1st District (O'Neill Burke Vacancy)
