Token,Party Affiliation,Candidate Name,Office
D,Democrat,Kelli Wegener,McHenry County Board Chairperson
R,Republican,Pat Sullivan,McHenry County Board Member District 1
D,Democrat,Theresa Meshes,McHenry County Board Member District 1
R,Republican,John Reinert,McHenry County Board Member District 2
D,Democrat,John (Jack) Collins,McHenry County Board Member District 2
R,Republican,Eric Hendricks,McHenry County Board Member District 3
D,Democrat,Rester Dogboe,McHenry County Board Member District 3
R,Republican,"Mike ""Shorty"" Shorten",McHenry County Board Member District 4
D,Democrat,Brian Deam Meyers,McHenry County Board Member District 4
R,Republican,Deena Krieger,McHenry County Board Member District 5
R,Republican,Carl Kamienski,McHenry County Board Member District 6
R,Republican,Paul Thomas,McHenry County Board Member District 7
D,Democrat,Louisette (Lou) Ness,McHenry County Board Member District 7
R,Republican,Tracie Von Bergen,McHenry County Board Member District 8
D,Democrat,Dawn Milarski,McHenry County Board Member District 8
R,Republican,Jim Kearns,McHenry County Board Member District 8
D,Democrat,Dawn Jordi Ellison,McHenry County Board Member District 8
