Token,Party Affiliation,Candidate Name,Office
R,Republican,Bob Berlin,DuPage County State's Attorney
R,Republican,"Jeremy ""Jaye"" Wang",DuPage County Clerk of Circuit Court
D,Democrat,Candice Adams,DuPage County Clerk of Circuit Court
R,Republican,Bob Grogan,DuPage County Auditor
D,Democrat,Bill White,DuPage County Auditor
R,Republican,Richard Jorgensen,DuPage County Coroner
D,Democrat,Judith Lukas,DuPage County Coroner
R,Republican,Nicole Prater,DuPage County Recorder
D,Democrat,Liz Chaplin,DuPage County Recorder
R,Republican,Cindy Cronin Cahill,DuPage County Board Member District 1
D,Democrat,Maria Sinkule,DuPage County Board Member District 1
R,Republican,Laura Hois,DuPage County Board Member District 2
D,Democrat,Andrew Honig,DuPage County Board Member District 2
R,Republican,Baron Leacock,DuPage County Board Member District 3
D,Democrat,Lucy Chang Evans,DuPage County Board Member District 3
R,Republican,Annette Corrigan,DuPage County Board Member District 4
D,Democrat,Lynn LaPlante,DuPage County Board Member District 4
R,Republican,Patty Gustin,DuPage County Board Member District 5
D,Democrat,Saba Haider,DuPage County Board Member District 5
R,Republican,Joe Soto,DuPage County Board Member District 6 
D,Democrat,Greg Schwarze,DuPage County Board Member District 6 
