Image,Party Affiliation,Candidate Name,Office
R,Republican,Scott Gengler,Kendall County Board Member District 1
R,Republican,Seth Wormley,Kendall County Board Member District 1
R,Republican,Brian DeBolt,Kendall County Board Member District 1
D,Democrat,Zachary Turnbow,Kendall County Board Member District 1
D,Democrat,Jamal Williams,Kendall County Board Member District 1
D,Democrat,Benjamin Schmidt,Kendall County Board Member District 1
KC,KC,Todd Milliron,Kendall County Board Member District 1
R,Republican,Dan Koukol,Kendall County Board Member District 2
R,Republican,Claude Ainsworth,Kendall County Board Member District 2
R,Republican,Diane Selmer,Kendall County Board Member District 2
D,Democrat,Zach Bachmann,Kendall County Board Member District 2
D,Democrat,Savena Joiner,Kendall County Board Member District 2
