Image,Party Affiliation,Candidate Name,Office
R,Republican,Mary Cole,Lake County State's Attorney
D,Democrat,Eric Rinehart,Lake County State's Attorney
D,Democrat,Erin Cartwright Weinstein,Lake County Clerk of Circuit Court
R,Republican,Mark Symonds,Lake County Coroner
D,Democrat,Jennifer Banek,Lake County Coroner
R,Republican,Adam Schlick,Lake County Board Member District 2
D,Democrat,Hilary Winiarz,Lake County Board Member District 2
R,Republican,J. Kevin Hunter,Lake County Board Member District 5
D,Democrat,Michael Conway,Lake County Board Member District 5
D,Democrat,Diane Hewitt,Lake County Board Member District 8
D,Democrat,Mary Ross Cunningham,Lake County Board Member District 9
R,Republican,Andrew Dalkin,Lake County Board Member District 12
D,Democrat,Paras Parekh,Lake County Board Member District 12
R,Republican,Ben Grum,Lake County Board Member District 13
D,Democrat,Sandy Hart,Lake County Board Member District 13
R,Republican,Alex Soronas,Lake County Board Member District 18
