Image,Party Affiliation,Candidate Name,Office
R,Republican,Jimmy Blacklock,Texas Supreme Court Place 2
D,Democrat,DaSean Jones,Texas Supreme Court Place 2
R,Republican,John Devine,Texas Supreme Court Place 4
D,Democrat,Christine Weems,Texas Supreme Court Place 4
R,Republican,Jane Bland,Texas Supreme Court Place 6
D,Democrat,Bonnie Lee Goldstein,Texas Supreme Court Place 6
L,Libertarian,David Roberson,Texas Supreme Court Place 6
