Image,Party Affiliation,Candidate Name,Office
D,Democrat,Darius Brown ,DE Senate Dist 2
Conservative Party,Conservative Party,Jon Roe,DE Senate Dist 2
D,Democrat,S. Elizabeth Lockman,DE Senate Dist 3
D,Democrat,Laura Sturgeon,DE Senate Dist 4
D,Democrat,Stephanie L. Hansen ,DE Senate Dist 10
D,Democrat,Bryan Townsend,DE Senate Dist 11
R,Republican,Eric Buckson,DE Senate Dist 16
D,Democrat,Trey Paradee,DE Senate Dist 17
R,Republican,Dave Wilson ,DE Senate Dist 18
