Image,Party Affiliation,Candidate Name,Office
D,Democrat,Nnamdi Chukwuocha ,DE House Dist 1
D,Democrat,Stephanie Bolden ,DE House Dist 2
D,Democrat,Josue Ortega ,DE House Dist 3
D,Democrat,Kendra Johnson,DE House Dist 5
D,Democrat,Debra Heffernan,DE House Dist 6
R,Republican,Michael Krawczuk,DE House Dist 6
D,Democrat,Larry Lambert Jr,DE House Dist 7
R,Republican,Stone Stoneman,DE House Dist 7
D,Democrat,Rae Moore,DE House Dist 8
R,Republican,Chris Beronio,DE House Dist 8
D,Democrat,Terrell Williams ,DE House Dist 9
R,Republican,Kevin Hensley,DE House Dist 9
D,Democrat,Melanie Ross Levin ,DE House Dist 10
R,Republican,Brent Burdge ,DE House Dist 10
R,Republican,Jeffrey Spiegelman,DE House Dist 11
D,Democrat,Krista Griffith ,DE House Dist 12
R,Republican,Steve Pickering ,DE House Dist 12
D,Democrat,DeShanna Neal,DE House Dist 13
D,Democrat,Kamela Smith ,DE House Dist 15
D,Democrat,Franklin Cooke Jr,DE House Dist 16
D,Democrat,Mimi Minor-Brown,DE House Dist 17
D,Democrat,Sophie Phillips,DE House Dist 18
D,Democrat,Kim Williams ,DE House Dist 19
R,Republican,Alex Homich,DE House Dist 19
D,Democrat,Frank Burns,DE House Dist 21
R,Republican,Brenda Mennella ,DE House Dist 21
D,Democrat,Monica Beard,DE House Dist 22
R,Republican,Michael Francis Smith,DE House Dist 22
D,Democrat,Mara Gorman,DE House Dist 23
D,Democrat,Ed Osienski,DE House Dist 24
R,Republican,John Godwin,DE House Dist 24
D,Democrat,Cyndie Romer ,DE House Dist 25
R,Republican,David Hansberger,DE House Dist 25
D,Democrat,Madinah Wilson-Anton,DE House Dist 26
D,Democrat,Eric Morrison,DE House Dist 27
R,Republican,Kristina Griffing ,DE House Dist 27
D,Democrat,William Carson,DE House Dist 28
D,Democrat,William Bush,DE House Dist 29
R,Republican,Anthony Egipciaco Jr,DE House Dist 29
R,Republican,W. Shannon Morris ,DE House Dist 30
D,Democrat,Sean Lynn,DE House Dist 31
D,Democrat,Kerri Evelyn Harris,DE House Dist 32
R,Republican,Amy Spampinato,DE House Dist 32
R,Republican,Charles Postles Jr.,DE House Dist 33
D,Democrat,Tracey Miller,DE House Dist 34
R,Republican,Lyndon Yearick,DE House Dist 34
