Image,Party Affiliation,Candidate Name,Office
D,Democrat,Andy Kim ,U.S. Senate
R,Republican,Curtis Bashaw,U.S. Senate
L,Libertarian,Kenneth Kaplan,U.S. Senate
G,Green,Christina Khalil,U.S. Senate
