Image,Party Affiliation,Candidate Name,Office
D,Democrat,Jennifer McCormick ,Governor
R,Republican,Mike Braun ,Governor
L,Libertarian,Donald Rainwater ,Governor
I,Independent,Christopher Stried ,Governor
