Image,Party Affiliation,Candidate Name,Office
D,Democrat,Lonnie M. Randolph,District 2
R,Republican,Humberto Prado,District 2
D,Democrat,Mark Spencer,District 3
R,Republican,Will Miller,District 3
D,Democrat,Leslie Nuss Bamesberger,District 5
R,Republican,Ed Charbonneau,District 5
D,Democrat,Leon P. Smith,District 8
R,Republican,Mike Bohacek ,District 8
