Image,Candidate Name,Office,Notes
D,Scott Wiener,CA State Senate District 11,Incumbent
R,Yvette Corkrean,CA State Senate District 11,Registered Nurse/Mother
D,Josh Becker,CA State Senate District 13,Incumbent
R,Alexander Glew,CA State Senate District 13,Professional Enginerr/CEO
