Image,Candidate Name,Office,Notes
D,Catherine Stefani,CA State Assembly District 19,County Supervisor
D,David E. Lee,CA State Assembly District 19,Educator
D,Diane Papan,CA State Assembly District 21,Incumbent
R,Mark Gilham,CA State Assembly District 21,Small Business Owner
D,Marc Berman,CA State Assembly District 23,Incumbent
D,Lydia Kou,CA State Assembly District 23,Palo Alto Mayor
