Candidate Name,Office,Notes
Mark Nagales,South San Francisco City Council District 2,Incumbent
Vivian Ramos,South San Francisco City Council District 2,Business Executive
Avin Sharma,South San Francisco City Council District 4,University Finance Manager
James Hsu Coleman,South San Francisco City Council District 4,Mayor/Environmental Advocate
