Image,Party Affiliation,Candidate Name,Office
D,Democrat,Sarah Anker,NYS State Senate District 1
R,Republican,Anthony Palumbo (i),NYS State Senate District 1
D,Democrat,Craig Herskowitz,NYS State Senate District 2
R,Republican,Mario Mattera (i),NYS State Senate District 3
D,Democrat,Michael Conroy,NYS State Senate District 3
R,Republican,Dean Murray (i),NYS State Senate District 3
D,Democrat,Monica Martinez (i),NYS State Senate District 4
R,Republican,Teresa J. Bryant,NYS State Senate District 4
D,Democrat,Lisa Lin,NYS State Senate District 5
R,Republican,Steven Rhoads (i),NYS State Senate District 6
D,Democrat,Siela Bynoe,NYS State Senate District 6
R,Republican,Thomas Philip Montefinise,NYS State Senate District 7
D,Democrat,Kim Keiserman,NYS State Senate District 7
R,Republican,Jack Martins (i),NYS State Senate District 7
Working Families Party,Working Families Party,Brad Schwartz,NYS State Senate District 7
D,Democrat,Franics R. Dolan,NYS State Senate District 8
R,Republican,Alexis Weik (i),NYS State Senate District 8
D,Democrat,James Lynch,NYS State Senate District 9
R,Republican,Patricia Canzoneri-Fitzpatrick (i),NYS State Senate District 9
D,Democrat,James Sanders (i),NYS State Senate District 10
R,Republican,Michael O'Reilly,NYS State Senate District 10
D,Democrat,Toby Ann Stavisky (i),NYS State Senate District 11
R,Republican,Yiatin Chu,NYS State Senate District 11
D,Democrat,Michael Gianaris (i),NYS State Senate District 12
R,Republican,Han Khon To,NYS State Senate District 12
D,Democrat,Joseph Addabbo (i),NYS State Senate District 15
Conservative Party,Conservative Party,Danniel Maio,NYS State Senate District 15
D,Democrat,John Liu (i),NYS State Senate District 16
Conservative Party,Conservative Party,Juan Pagan,NYS State Senate District 16
D,Democrat,Iwen Chu (i),NYS State Senate District 17
R,Republican,Stephen T. Chan,NYS State Senate District 17
D,Democrat,Jessica Scarcella-Spanton (i),NYS State Senate District 23
R,Republican,Marko Kepi,NYS State Senate District 23
D,Democrat,Andrew Gounardes (i),NYS State Senate District 26
R,Republican,Vito LaBella,NYS State Senate District 26
D,Democrat,Liz Krueger (i),NYS State Senate District 28
R,Republican,Louis Puliafito,NYS State Senate District 28
D,Democrat,Jose M. Serrano (i),NYS State Senate District 29
R,Republican,Tanya Carmichael,NYS State Senate District 29
D,Democrat,Robert Jackson (i),NYS State Senate District 31
R,Republican,Woodrow Hines Jr.,NYS State Senate District 31
D,Democrat,J. Gustavo Rivera (i),NYS State Senate District 33
R,Republican,Dion Powell,NYS State Senate District 33
D,Democrat,Nathalia Fernandez (i),NYS State Senate District 34
R,Republican,Edwinna Herrera,NYS State Senate District 34
D,Democrat,Andrea Steward-Cousins (i),NYS State Senate District 35
R,Republican,Khristen Kerr,NYS State Senate District 35
D,Democrat,Jamaal Bailey (i),NYS State Senate District 36
Conservative Party,Conservative Party,Irene Estrada,NYS State Senate District 36
D,Democrat,Shelley Mayer (i),NYS State Senate District 37
R,Republican,Tricia S. Lindsay,NYS State Senate District 37
D,Democrat,Elijah Reichlin-Melnick,NYS State Senate District 38
R,Republican,William Weber Jr. (i),NYS State Senate District 38
D,Democrat,Yvette Valdes Smith,NYS State Senate District 39
R,Republican,Robert Rolison (i),NYS State Senate District 39
D,Democrat,Peter Harckham (i),NYS State Senate District 40
R,Republican,Gina Arena,NYS State Senate District 40
D,Democrat,Michelle Hinchey (i),NYS State Senate District 41
R,Republican,Patrick Sheehan,NYS State Senate District 41
D,Democrat,James Skoufis (i),NYS State Senate District 42
R,Republican,Dorey Houle,NYS State Senate District 42
Conservative,Conservative,Timothy Mitts,NYS State Senate District 42
D,Democrat,Brad Hoylman Sigal (i),NYS State Senate District 47
R,Republican,Emily Yuexin Miller,NYS State Senate District 47
