Image,Party Affiliation,Candidate Name,Office
D,Democrat,Eugene Depasquale ,Attorney General
R,Republican,Dave Sunday,Attorney General
L,Libertarian,Robert Cowburn ,Attorney General
G,Green,Richard Weiss,Attorney General
