Image,Party Affiliation,Candidate Name,Office
D,Democrat,Patricia Lawton ,PA Senate Dist 27
R,Republican,Lynda Schlegal Culver,PA Senate Dist 27
D,Democrat,John Zugarek ,PA Senate Dist 29
R,Republican,Dave Argall,PA Senate Dist 29
L,Libertarian,Timothy Henning ,PA Senate Dist 29
D,Democrat,Mark Temons,PA Senate Dist 31
R,Republican,Dawn Keefer,PA Senate Dist 31
