Image,Party Affiliation,Candidate Name,Office
D,Democrat,Robert Casey Jr,U.S. Senate
R,Republican,Dave McCormick ,U.S. Senate
L,Libertarian,John Thomas ,U.S. Senate
G,Green,Leila Hazou,U.S. Senate
