Image,Candidate Name,Office,Notes
D,Lori Wilson,CA State Assembly District 11,Incumbent
R,Dave Ennis,CA State Assembly District 11,Civil Engineer
D,Margot Smith,CA State Assembly District 14,
D,Buffy Wicks,CA State Assembly District 14,
R,Sonia Ledo,CA State Assembly District 15,Businesswoman
D,Anamarie Avila Farias,CA State Assembly District 15,County Board of Education Member
