Image,Candidate Name,Office,Notes
D,Christopher Cabaldon,CA State Senate District 3,n/a
R,Thom Bogue,CA State Senate District 3,City Councilmember/Business Owner
D,Jesse Arreguin,CA State Senate District 7,Mayor of Berkeley
D,Jovanka Beckles,CA State Senate District 7,AC Transit Director
D,Timothy Grayson,CA State Senate District 9,Assemblymember/Business Owner
D,Marisol Rubio,CA State Senate District 9,Caregiver
